"ID","Sex","Age.at.Start..Month.","Age.Group","Light.Group","PRE.POST","Amplitude","Period","Phase","Mean","X..Variance","MESOR","F","p","RA","IV","IS","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
"43","M  ","13","Middle-age","ISF","PRE",4.08,24,32,3.529,15.246,3.529,1259.599,0,0.571,0.762,0.638,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"44","M  ","13","Middle-age","CNT","POST",2.55,24,357.75,2.059,8.394,2.059,646.934,0,0.625,1.287,0.536,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"44","M  ","13","Middle-age","CNT","PRE",3.01,24,16,2.677,11.952,2.677,916.257,0,0.592,1.249,0.618,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"45","F  ","12","Middle-age","ISF","POST",3.051,24,42.25,2.153,10.213,2.153,747.741,0,0.699,1.455,0.446,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"45","F  ","12","Middle-age","ISF","PRE",3.609,24,30,2.247,14.592,2.247,1134.517,0,0.785,1.419,0.509,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"47","F  ","12","Middle-age","ISF","POST",4.523,24,24.25,2.857,12.679,2.857,902.834,0,0.71,1.246,0.581,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"47","F  ","12","Middle-age","ISF","PRE",2.782,24,102.5,12.03,-0.145,12.03,110.297,0,0.106,0.154,0.048,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"48","F  ","12","Middle-age","CNT","POST",3.169,24,20.25,2.979,10.764,2.979,859.906,0,0.494,1.273,0.506,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"48","F  ","12","Middle-age","CNT","PRE",4.163,24,21.25,3.325,15.837,3.325,1375.23,0,0.597,1.243,0.553,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"49","F  ","12","Middle-age","CNT","POST",3.548,24,47.5,4.827,4.281,4.827,332.789,0,0.318,0.196,0.114,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"49","F  ","12","Middle-age","CNT","PRE",0.486,24,51.5,12.583,0.143,12.583,4.664,0.009,0.037,0.122,0.011,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
