ID,PRE_POST,Mean,Variance,MESOR,Amplitude,Phase,Period,F,p,IS,IV,RA,source,sensor_flag,pct_zero,longest_zero_run_hours
36,POST,3.546435316336166,6.488442357748624,3.534249523961455,1.9756297871490778,346.45317318055237,24.0,151.30697761057317,2.2397407973277524e-55,0.4781593953739613,1.1326224822121516,0.4965798910877938,#36 IR.csv,False,1.84,3.0
37,PRE,13.414292635658914,5.165309378319434,13.408850989006542,0.2972719567209691,34.136687537447486,24.0,1.4860136136032485,0.22773440269849027,0.07331720023381802,1.5934780663131318,0.029676516998995504,#37 IR.csv,False,0.58,1.0
37,POST,12.090155807365438,22.005819030063154,12.09468237366207,0.6421176625082571,64.76277676854289,24.0,3.327654112746489,0.03644316492843006,0.018834627408917125,0.513468735916267,0.051301222488009536,#37 IR.csv,True,9.21,37.0
39,PRE,3.33401187446989,6.044880490788342,3.3179617970703137,1.8306388870412762,359.1303791465147,24.0,74.65156833224182,3.549554578370962e-28,0.5168983739836445,1.1902983877039441,0.5603352729287892,#39 IR.csv,False,0.25,1.0
39,POST,3.124315391879131,4.810745984547625,3.113649741845382,1.5470655907783126,341.3742259798347,24.0,116.5389357646248,1.9437311054067586e-44,0.4084084100270396,0.968499939427591,0.4539547082656436,#39 IR.csv,True,3.97,26.0
40,PRE,2.929323308270677,3.7055771232939967,2.932066374629113,1.3160661431376601,8.252533085138918,24.0,61.11176426543507,7.400407860291797e-24,0.314917225662208,1.349633602397565,0.39564718496642265,#40 IR.csv,False,2.01,2.0
40,POST,2.506279508970727,3.394051922394337,2.5000501453916177,1.2460380393612347,354.0137443503126,24.0,104.22211233724747,2.2891144702486667e-40,0.3774473525792463,1.2402020652716794,0.440253821747909,#40 IR.csv,False,5.95,3.0
59,PRE,1.555246913580247,6.024421849159649,1.543765671468583,0.2308779780426383,52.00855644062031,24.0,0.23431475718835343,0.7915253136976672,0.11223186470518044,0.3118944878581444,0.6648858669256921,59,True,63.89,69.0
59,POST,5.216626115166261,13.934587615598106,5.202670521057935,2.7492706627766643,327.84034263330227,24.0,229.5000496974461,1.9924770657488147e-85,0.3455705470956712,0.677899841763349,0.44671299584051966,59,True,6.33,20.0
60,PRE,1.555246913580247,6.024421849159649,1.543765671468583,0.2308779780426383,52.00855644062031,24.0,0.23431475718835343,0.7915253136976672,0.11223186470518044,0.3118944878581444,0.6648858669256921,60,True,63.89,69.0
